NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;SINALIZADOR_INGRESSANTE;IDADE_ALUNO;GÊNERO;PEDRA;ATINGIU_PV;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;IPV;IAN;NIVEL_IDEAL;DEFASAGEM
ALUNO-441;2021;Escola Pública;Escola Pública;Escola Pública;2;R;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.57;9.0;7.9;6.3;7.8;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.0;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-442;2021;Escola Pública;Escola Pública;Escola Pública;1;F;Veterano;10;INFO INDISPONÍVEL;Quartzo;QUEDA;5.19;8.5;4.2;7.5;0.7;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.8;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-444;2021;Escola Pública;Escola Pública;Escola Pública;1;J;Ingressante;11;INFO INDISPONÍVEL;Ágata;INGRESSANTE;6.47;9.5;4.2;7.5;5.1;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.1;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-447;2021;Escola Pública;Escola Pública;Escola Pública;1;J;Veterano;11;INFO INDISPONÍVEL;Ametista;AVANÇO;7.69;9.5;9.6;5.0;6.4;7.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;NÃ£o avaliado;8.7;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-448;2021;Escola Pública;Escola Pública;Escola Pública;3;R;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.85;9.2;7.8;7.5;6.3;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.1;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-449;2021;Escola Pública;Escola Pública;Escola Pública;2;N;Veterano;10;INFO INDISPONÍVEL;Ametista;QUEDA;7.65;8.5;7.5;7.5;4.9;8.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.6;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-450;2021;Escola Pública;Escola Pública;Escola Pública;5;A;Ingressante;16;INFO INDISPONÍVEL;Ametista;AVANÇO;7.20;7.1;7.5;7.5;6.3;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;8.3;5;NÃ­vel 6 (2o EM);-1.0
ALUNO-451;2021;Escola Pública;Escola Pública;Escola Pública;1;E;Veterano;10;INFO INDISPONÍVEL;Ágata;QUEDA;5.67;8.5;5.0;7.5;1.0;8.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.7;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-452;2021;Escola Pública;Escola Pública;Escola Pública;1;G;Ingressante;11;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.12;7.0;8.8;7.5;4.8;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.3;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-455;2021;Escola Pública;Escola Pública;Escola Pública;2;F;Veterano;10;INFO INDISPONÍVEL;Ametista;QUEDA;7.15;8.5;7.1;7.5;4.9;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.2;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-463;2021;Rede Decisão;Escola Privada;Escola Privada;4;G;Veterano;13;INFO INDISPONÍVEL;Topázio;AVANÇO;8.29;9.6;8.3;7.5;7.0;8.8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;8.2;10;NÃ­vel 3 (7o e 8o ano);1.0
ALUNO-465;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;8.12;8.5;10.0;7.5;7.6;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.6;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-468;2021;Escola Pública;Escola Pública;Escola Pública;2;N;Ingressante;11;INFO INDISPONÍVEL;Ágata;QUEDA;6.58;7.0;6.3;7.5;3.6;7.7;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.0;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-469;2021;Rede Decisão;Escola Privada;Escola Privada;4;A;Veterano;13;INFO INDISPONÍVEL;Ágata;QUEDA;6.76;6.3;6.7;7.5;6.4;7.3;Promovido de Fase;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;5.2;10;NÃ­vel 3 (7o e 8o ano);1.0
ALUNO-474;2021;Escola Pública;Escola Pública;Escola Pública;2;H;Veterano;11;INFO INDISPONÍVEL;Ametista;MANTIDO;7.21;9.0;7.5;7.5;4.6;7.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.2;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-477;2021;Escola Pública;Escola Pública;Escola Pública;2;L;Veterano;13;INFO INDISPONÍVEL;Quartzo;MANTIDO;5.18;0.0;5.8;7.5;4.3;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.9;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-482;2021;Rede Decisão;Escola Privada;Escola Privada;2;F;Veterano;13;INFO INDISPONÍVEL;Topázio;AVANÇO;9.02;10.0;10.0;7.5;9.1;9.8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;9.8;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-483;2021;Rede Decisão;Escola Privada;Escola Privada;2;G;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.64;9.5;8.3;5.0;8.1;7.9;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.1;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-485;2021;Escola Pública;Escola Pública;Escola Pública;3;D;Ingressante;13;INFO INDISPONÍVEL;Ágata;INGRESSANTE;6.39;7.1;6.1;7.5;5.0;7.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.4;5;NÃ­vel 4 (9o ano);-1.0
ALUNO-486;2021;Escola Pública;Escola Pública;Escola Pública;2;C;Ingressante;13;INFO INDISPONÍVEL;Quartzo;MANTIDO;5.51;0.0;6.3;7.5;6.0;6.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.7;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-487;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Veterano;9;INFO INDISPONÍVEL;Ametista;QUEDA;7.44;10.0;6.7;7.5;7.1;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.3;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-488;2021;Escola Pública;Escola Pública;Escola Pública;3;R;Veterano;14;INFO INDISPONÍVEL;Ágata;MANTIDO;5.54;8.3;5.3;7.5;3.0;7.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;5.5;5;NÃ­vel 4 (9o ano);-1.0
ALUNO-490;2021;Rede Decisão;Escola Privada;Escola Privada;4;A;Ingressante;15;INFO INDISPONÍVEL;Ametista;MANTIDO;7.04;8.8;7.8;6.9;6.5;7.3;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;7.0;5;NÃ­vel 6 (2o EM);-2.0
ALUNO-494;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Ingressante;11;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.27;9.5;9.2;7.5;7.2;8.8;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;9.6;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-496;2021;Rede Decisão;Escola Privada;Escola Privada;4;A;Ingressante;12;INFO INDISPONÍVEL;Ametista;QUEDA;7.89;9.6;6.7;7.5;7.5;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;7.7;10;NÃ­vel 3 (7o e 8o ano);1.0
ALUNO-497;2021;Escola Pública;Escola Pública;Escola Pública;2;K;Ingressante;12;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.60;9.0;8.3;7.5;6.6;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.2;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-498;2021;Escola Pública;Escola Pública;Escola Pública;3;H;Ingressante;13;INFO INDISPONÍVEL;Ágata;INGRESSANTE;5.74;9.6;3.9;5.0;3.8;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.1;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-499;2021;Rede Decisão;Escola Privada;Escola Privada;2;A;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.50;9.0;7.1;7.5;7.1;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.8;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-500;2021;Rede Decisão;Escola Privada;Escola Privada;7;A;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.88;9.2;8.9;5.6;6.4;8.1;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;7.6;10;NÃ­vel 7 (3o EM);0.0
ALUNO-502;2021;Escola Pública;Escola Pública;Escola Pública;4;G;Veterano;14;INFO INDISPONÍVEL;Ágata;QUEDA;6.85;10.0;4.7;7.5;3.9;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;7.5;10;NÃ­vel 4 (9o ano);0.0
ALUNO-503;2021;Escola Pública;Escola Pública;Escola Pública;0;J;Ingressante;9;INFO INDISPONÍVEL;Ametista;AVANÇO;8.01;9.5;10.0;7.5;6.9;7.5;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.4;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-507;2021;Escola Pública;Escola Pública;Escola Pública;4;E;Veterano;14;INFO INDISPONÍVEL;Ágata;QUEDA;5.58;9.6;3.9;5.0;2.8;7.2;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;5.3;10;NÃ­vel 4 (9o ano);0.0
ALUNO-511;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.30;7.5;8.3;7.5;6.6;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;7.8;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-512;2021;Rede Decisão;Escola Privada;Escola Privada;4;A;Veterano;15;INFO INDISPONÍVEL;Ametista;MANTIDO;7.97;8.3;8.6;7.5;7.0;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;9.5;5;NÃ­vel 5 (1o EM);-1.0
